Movie Name,Audience Score,AUDIENCE SCORE reviews,Tomatometer Score,TOMATOMETER reviews,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),box office,Runtime,Distributor,MOVIE INFO
A TASTE OF BLOOD,40%,100+ Ratings,--,A TASTE OF BLOOD,Horror,English,Herschell Gordon Lewis,Herschell Gordon Lewis,Donald Stanford,"Aug 9, 1967  Original",,,1h 57m,,A modern businessman (Bill Rogers) becomes a vampire after drinking ancient brandy.
ONE FOR THE ROAD,--,Fewer than 50 Ratings,--,ONE FOR THE ROAD,Comedy,English,Chris Cooke,"Alexander O'Neal, Kate Ogborn, Helen Solomon",Chris Cooke,,,,1h 30m,,Four drunk drivers meet at a rehabilitation clinic and begin an exploration into their lives.
SLAM,84%,"2,500+ Ratings",61%,SLAM,Drama,English,Marc Levin,"Marc Levin, Richard Stratton","Marc Levin, Richard Stratton, Sonja Sohn, Marc Levin, Bonz Malone, Saul Williams, Richard Stratton","Oct 5, 1998  Wide","Jan 23, 2001",$982.2K,1h 43m,Trimark Pictures,"Ray Joshua (Saul Williams), a talented black poet from the Washington, D.C., projects, is arrested on petty drug charges and thrown into the black hole that is the D.C. jail. There he meets the two people who can redirect his life: a prison gang leader and a beautiful female poet teaching a self-expression class for inmates."
SING 2,98%,"5,000+ Verified Ratings",71%,SING 2,"Kids & Family, Musical, Comedy, Animation",English,Garth Jennings,"Christopher Meledandri, Janet Healy",Garth Jennings,"Dec 22, 2021  Wide",,$162.7M,1h 50m,Universal Pictures,"This holiday season, the new chapter in Illumination's smash animated franchise arrives with big dreams and spectacular hit songs as the ever-optimistic koala, Buster Moon, and his all-star cast of performers prepare to launch their most dazzling stage extravaganza yet... all in the glittering entertainment capital of the world. There's just one hitch: They first have to persuade the world's most reclusive rock star--played by global music icon Bono, in his animated film debut--to join them."
OPERATION OVERLORD,--,0 Ratings,--,OPERATION OVERLORD,Action,English,Brett Bentman,Tiffany McDonald,Brett Bentman,,,,1h 20m,,"A week before storming the beaches of Normandy, two U.S. soldiers infiltrate an abandoned complex to rescue a prisoner of war from the Nazi regime."
HAPPY CAMPER,46%,"1,000+ Ratings",--,HAPPY CAMPER,Comedy,French (Canada),"Guy A. Lepage, André Ducharme, Sylvain Roy","Guy A. Lepage, Lyse Lafontaine, Tony Roman","André Ducharme, Luc Déry, Yves Lapierre",,,,1h 40m,,A man falls for a woman while he is hiding among campers to elude his criminal pursuers.
A CHESTNUT FAMILY CHRISTMAS,--,Fewer than 50 Ratings,--,A CHESTNUT FAMILY CHRISTMAS,"Holiday, Drama",English,Roger M. Bobb,"Shane Boucher, Caitlin Delaney",,,,,1h 30m,,"A talented pastry chef accidentally commits to hosting her family for the holidays, so she poses as a wealthy homeowner in order to impress them."
GHOUL HOUSE,--,0 Ratings,--,GHOUL HOUSE,Horror,English,Pierson Kardas,,,,,,1h 12m,,"A group of friends finds its party being crashed by a group of mysterious cat-like ghouls. To make matters worse, the school's murderous bullies decide to show up as well."
MO AMER: MOHAMMED IN TEXAS,100%,Fewer than 50 Ratings,--,MO AMER: MOHAMMED IN TEXAS,"Comedy, Stand-Up",English,Jay Chapman,,,,"Nov 30, 2021",,1h 4m,,"In his hometown of Houston, Mo Amer takes on pandemic panic, disappointing Bradley Cooper, hummus appropriation and the subtle art of cursing in Arabic."
PURSUIT,8%,Fewer than 50 Ratings,9%,PURSUIT,"Action, Mystery & Thriller, Drama",English,Brian Skiba,Andrew Stevens,"Brian Skiba, Dawn Bursteen, Ben Fiore, Andrew Stevens","Feb 18, 2022  Limited","Feb 18, 2022",,1h 35m,Lionsgate,"John Cusack (Grosse Pointe Blank) and Emile Hirsch (Into the Wild) star in this action thriller about a tough cop's hunt for an even tougher criminal. Detective Breslin crosses paths with Calloway (Hirsch), a ruthless hacker desperate to find his wife, who has been kidnapped by a drug cartel. When Calloway escapes police custody, Breslin joins forces with a no-nonsense female cop to reclaim his prisoner. But is Calloway's crime-boss father (Cusack) somehow involved in this explosive situation?"
BLONDE. PURPLE,86%,Fewer than 50 Ratings,--,BLONDE. PURPLE,"Crime, Drama, Mystery & Thriller",English,Marcus Flemmings,"Marcus Flemmings, Haider Zafar, Mary Pattisson, Ajay Arora",Marcus Flemmings,,"Nov 30, 2021",,,,"An out of his depth inexperienced criminal is stuck in a bank, after a heist went wrong. How will he get out? We follow his journey to escape, whilst learning how he got into the situation in the first place."
SAYING YES TO CHRISTMAS,--,Fewer than 50 Ratings,--,SAYING YES TO CHRISTMAS,"Holiday, Romance",English,Graeme Campbell,,John Dion,,"Dec 1, 2021",,1h 30m,,"A magical Christmas wish makes a career-obsessed woman say ""yes"" to every invitation while she's home for the holidays. However, past feelings get reignited when an old flame joins her hectic schedule of yuletide activities."
EXTRAORDINARY: THE REVELATIONS,--,Fewer than 50 Ratings,--,EXTRAORDINARY: THE REVELATIONS,Documentary,English,Jon Sumple,"Jack Roth, Jamie Sernoff, Jon Sumple","Jon Sumple, Jack Roth",,"Nov 29, 2021",,1h 43m,,"The historical significance of extraterrestrial presence as well as three specific paradigms -- biblical, ascension and colonization -- that attempt to define the alien agenda."
THE GOVERNESS,50%,"1,000+ Ratings",65%,THE GOVERNESS,Drama,English,Sandra Goldbacher,Sarah Curtis,Sandra Goldbacher,"Jun 11, 1998  Original","Feb 16, 1999",$4.0M,1h 54m,Sony Pictures Classics,"Following her father's murder, a London Jew, Rosina da Silva (Minnie Driver), reinvents herself as a Protestant governess on a remote Scottish island. Schooling the Cavendish family's daughter, Clementina (Florence Hoath), she soon incites the amorous passions of patriarch Charles (Tom Wilkinson), a scientist obsessed with capturing the photographic image. When his rebellious son Henry (Jonathan Rhys-Meyers) arrives home, complications arise, emotions entangle and secrets inevitably spill out."
LOVE KNOTS,--,0 Ratings,--,LOVE KNOTS,"Romance, Comedy",English,Joshua Frizzell,"Bridget Bourke, Samantha Ellison, Tina McLaren",John Banas,,,,1h 30m,,"Jodie fears that her family's sail-making company will be torn down after a luxury developer looks to expand their port. When she meets Will, the architect behind the expansion, she hopes she can harmonize his plans with local businesses."
THE GOOD THIEF,62%,"5,000+ Ratings",77%,THE GOOD THIEF,"Crime, Drama",English,Neil Jordan,"Stephen Woolley, Seaton McLean, John Wells",Neil Jordan,"Apr 16, 2003  Wide","Aug 19, 2003",$3.5M,1h 48m,Fox,"Bob (Nick Nolte) is an aging thief who has seen better days and is battling both an addiction to heroin and a growing gambling problem. But he still thinks he has one more big score in him and plots a massive heist of a Monte Carlo casino. In order to pull off the theft, he'll need an amazing team of accomplices and will have to outwit his nemesis, the local police chief (Tcheky Karyo). The chief knows that Bob is up to something, but can he figure it out before Bob makes off with millions?"
DEATH LINK,--,Fewer than 50 Ratings,--,DEATH LINK,"Drama, Horror",English,David Lipper,"Elizabeth Blake-Thomas, David Lipper, Tina Sutakanat, Kipp Tribble","Dustin Dinoff, Duncan Forster",,"Nov 30, 2021",,1h 28m,,"A link to a video reaches high school senior Julie through her preferred social networking app, INSTATOCK. In it, her friend Albert appears to be brutally murdered. Julie and her friends, a tight clique of privileged high schoolers, aren't sure if it's a practical joke until news arrives that a victim of Albert's bullying pranks has escaped from a mental hospital. Only as the group's numbers dwindle do they realize someone is using their posts on the app to stalk them."
ADVENTURES IN CHRISTMASING,--,0 Ratings,--,ADVENTURES IN CHRISTMASING,"Holiday, Drama",English,Troy Scott,"Kim Fields, Timothy O. Johnson, Art Rutter",Rhonda Baraka,,,,1h 30m,,Parker Baldwin finds her Christmas plans upended when her network persuades her to spend three days in the wild with survivalist Finn Holt for a holiday television event.
THE LOTTERY,45%,"1,000+ Ratings",--,THE LOTTERY,Horror,English,Daniel Sackheim,Linda Otto,,,,,1h 36m,,A man (Dan Cortese) discovers horror while fulfilling a request to scatter his father's ashes in a sleepy New England burg.
ROBBO: THE BRYAN ROBSON STORY,--,0 Ratings,--,ROBBO: THE BRYAN ROBSON STORY,Documentary,English (United Kingdom),John Brocklehurst,,,,,,1h 43m,,"Insight of Bryan Robson's life, who went from being a working class kid in the North East of England to a national treasure honored by the Queen."
WELCOME TO THE CHRISTMAS FAMILY REUNION,--,0 Ratings,--,WELCOME TO THE CHRISTMAS FAMILY REUNION,"Holiday, Romance",English,Jake Helgren,"Autumn Federici, Jake Helgren",Jake Helgren,,"Nov 30, 2021",,1h 30m,,A perfectionist event planner takes on a rising pop star's ten year family reunion as her latest project; disagreements within the family threaten disaster unless a plan can be made to satisfy everyone.
WRAPPED UP IN LOVE,--,0 Ratings,--,WRAPPED UP IN LOVE,"Holiday, Romance",English,Michelle Ouellet,,Timothy Kuryak,,,,1h 25m,,"""Christmas Queen"" Ashley meets her match in Ben, a handsome new guy in town, who loves Christmas just as much as she does. They join forces to make Christmas even more meaningful."
SANTA LUCIA,--,0 Ratings,--,SANTA LUCIA,Drama,Spanish,Constanza B. Majluf,,Pablo Simonetti,,,,10m,,"While Sebastian lives a pretty standard life with his family, he's pulled outside of it when he gives in to his secret desires on a mysterious and dark hill."
RIGHT BEFORE YOUR EYES,100%,Fewer than 50 Ratings,--,RIGHT BEFORE YOUR EYES,Drama,English,David Vincent Bobb,"Jacque Capretti, Dave DeSteno, Anna Gettler","David Vincent Bobb, Roy Koriakin","Sep 20, 2019  Limited","Oct 16, 2020",,1h 15m,myCinema,A recovering alcoholic visits his estranged son.
QUEEN,85%,500+ Ratings,90%,QUEEN,Drama,Hindi,Vikas Bahl,"Anurag Kashyap, Vikramaditya Motwane, Vivek Agarwal","Vikas Bahl, Chaitally Parmar, Parveez Sheikh",,"Nov 20, 2016",,2h 26m,,"Rani, a 24-year-old homely girl, decides to go on her honeymoon alone when her fiancé calls off the wedding. Traveling around Europe, she finds joy, makes friends, and gains new-found independence."
THE WALTONS' HOMECOMING,57%,Fewer than 50 Ratings,--,THE WALTONS' HOMECOMING,"Holiday, Drama",English,Lev Spiro,Billy Levin,Jim Strain,,"Dec 6, 2021",,1h 20m,,"The Walton family is excited to learn that John Sr. will be coming home for Christmas during the winter of 1933. However, when a storm threatens his arrival and he's nowhere to be found, John Boy embarks on a life-changing journey to find him."
SIETE PERROS,--,0 Ratings,--,SIETE PERROS,,Spanish,Rodrigo Guerrero,Rodrigo Guerrero,Paula Lussi,,,,1h 23m,,Genre: Drama
FIREWORKS,--,0 Ratings,--,FIREWORKS,"Romance, Drama, Anime",Japanese,Akiyuki Shinbo,Genki Kawamura,Hitoshi Ône,,"Apr 29, 2019",,1h 30m,,"Norimichi and Yusuke are both infatuated with their classmate Nazuna. But when Nazuna decides to run away from home, it's Norimichi she asks to join her. After their plans go awry, Norimichi discovers a magical ball that has the power to manipulate time and give them a second chance, but each reset brings new complications."
A CHRISTMAS WITNESS,--,Fewer than 50 Ratings,--,A CHRISTMAS WITNESS,"Holiday, Romance, Drama",English,,Steve Chicorel,Joany Kane,,,,1h 30m,,"Federal agent Jessie babysits Dean McCoy until he testifies before a grand jury a few days after Christmas. As the two try to save a small town's holiday lighting ceremony and fight off hit men at the same time, they form a romantic connection."
ANYTHING GOES,44%,"1,000+ Ratings",--,ANYTHING GOES,Musical,English,Robert Lewis,Robert Emmett Dolan,,,,,1h 46m,,"Bill Benson (Bing Crosby) and Ted Adams (Donald O'Connor) team up as headliners in an upcoming Broadway play. While vacationing separately in Paris, each actor finds his own leading lady for the show without consulting the other. Bill picks American Patsy Blair (Mitzi Gaynor), and Ted chooses French dancer Gaby Duval (Zizi Jeanmaire). When the two men run into each other on an ocean liner heading home, they must sort out the mess and decide on only one girl for the starring role."
MIRACLE IN MOTOR CITY,--,Fewer than 50 Ratings,--,MIRACLE IN MOTOR CITY,"Holiday, Romance, Comedy",English,Alfons Adetuyi,,Rhonda Baraka,,"Nov 29, 2021",,1h 30m,,Amber Dupont bites off more than she can chew when she takes charge of her church's annual Christmas pageant and inadvertently promises to deliver a special performance by Motown legend Smokey Robinson.
CHRISTMAS IS YOU,--,0 Ratings,--,CHRISTMAS IS YOU,"Holiday, Romance, Drama",English,Allan Harmon,Donald Munro,Jenn Thompson,,,,1h 24m,,"An office assistant is faced with a dilemma when her record-executive boss tells her to convince her ex-boyfriend to sign with their label, or look for a new job."
CHRISTMAS IN TAHOE,--,Fewer than 50 Ratings,--,CHRISTMAS IN TAHOE,"Holiday, Romance",English,Robert Lieberman,,"Stephanie Jackson, Zach Lewis, Nina Weinman",,,,1h 23m,,"To save her family's hotel Christmas show, a talent booker must ask for help from her ex-boyfriend -- the lead guitarist of a now-famous band that fired her as its manager years ago."
THE CHRISTMAS CONTEST,--,Fewer than 50 Ratings,--,THE CHRISTMAS CONTEST,"Holiday, Romance, Comedy",English,Paula Elle,John MacCarthy,Joie Botkin,,,,1h 23m,,Sparks fly between a former couple as they compete in a Christmas contest to win money for the charity of their choosing.
AMIRA,--,Fewer than 50 Ratings,20%,AMIRA,Drama,Arabic,Mohamed Diab,"Hany Abu-Assad, Mohamed Hefzy, Moez Masoud, Mona Abdel Wahab, Amira Diab, Sarah Goher","Mohamed Diab, Khaled Diab, Sherin Diab",,"Nov 9, 2022",,1h 38m,,"Amira, a 17 year old Palestinian, was conceived with the smuggled sperm of her imprisoned father, Nawar. Although their relationship since birth has been restricted to prison visits, he remains her hero. His absence in her life is overcompensated with love and affection from those surrounding her. But when a failed attempt to conceive another child reveals Nawar's infertility, Amira's world turns upside down."
BLUE,87%,"5,000+ Ratings",100%,BLUE,Documentary,English,Derek Jarman,"James Mackay, Takashi Asai",Derek Jarman,,"Apr 17, 2020",,1h 16m,,"Filmmaker Derek Jarman ponders his deteriorating condition from AIDS, set against a plain blue screen."
BLACK BOX,65%,250+ Ratings,71%,BLACK BOX,Mystery & Thriller,English,Emmanuel Osei-Kuffour,John H. Brister,"Emmanuel Osei-Kuffour, Stephen Herman",,"Oct 6, 2020",,1h 40m,,"After losing his wife and memory in a car accident, a single father undergoes an agonizing experimental treatment that causes him to question who he really is."
BREATH,--,0 Ratings,--,BREATH,Drama,French (France),Just Philippot,,Just Philippot,,"Jan 9, 2019",,24m,,"Lizon dreams of a party for her ninth birthday and the fact that she lives with her mother in a car is, to her, completely irrelevant."
FREDDIE MERCURY: THE FINAL ACT,--,Fewer than 50 Ratings,--,FREDDIE MERCURY: THE FINAL ACT,"Documentary, Music",English,James Rogan,,,,,,1h 29m,,"Showcasing the extraordinary final chapter of Freddie Mercury's life and how, after his death from AIDS, Queen staged one of the biggest concerts in history; featuring interviews with Brian May and Roger Taylor of Queen."
THE DEVIL'S TRIANGLE,--,Fewer than 50 Ratings,--,THE DEVIL'S TRIANGLE,"Documentary, Mystery & Thriller",English,Richard Winer,"Richard Winer, Larry Kelsey","Worley Thorne, Richard Winer",,"Jan 8, 2017",,52m,,Exploring the mysteries of the Bermuda Triangle.
ALPS,50%,"1,000+ Ratings",75%,ALPS,Drama,Greek,Yorgos Lanthimos,"Yorgos Lanthimos, Athina Rachel Tsangari","Efthymis Filippou, Yorgos Lanthimos",,"Dec 4, 2012",$8.6K,1h 33m,,Actors start a unique business where they impersonate deceased people to help their clients through the grieving process.
NASH BRIDGES,--,Fewer than 50 Ratings,--,NASH BRIDGES,"Action, Adventure, Mystery & Thriller, Crime, Drama",English,Greg Beeman,,Bill Chais,,,,1h 22m,,"After being suspended by the San Francisco Police Department's Special Investigation Unit, Nash Bridges finds himself drawn back into the fold when a figure from his past resurfaces. Now, he must confront a changing city, a new boss, and a world in which police work focuses on modern data-crunching and predictive policing. Although the world around him has changed, Nash hasn't."
DISTANCE,76%,250+ Ratings,80%,DISTANCE,,,,,,,,,,,Director: Unknown Director
DIRTY LITTLE DEEDS,--,0 Ratings,--,DIRTY LITTLE DEEDS,Mystery & Thriller,English,Dylan Vox,Liana Rae Perez,"Jeremy M. Inman, Josiah Nelson",,,,1h 30m,,A woman becomes suspicious of her new husband after uncovering a deadly web of lies at his family's estate.
MERRY LIDDLE CHRISTMAS BABY,--,Fewer than 50 Ratings,--,MERRY LIDDLE CHRISTMAS BABY,"Holiday, Comedy, Drama",English,Kelly Fyffe-Marshall,Charles Cooper,Andrea Stevens,,"Nov 28, 2021",,1h 30m,,"The Liddle family has much to be merry about this Christmas as Jacquie and Tyler prepare for the arrival of their first baby, while her sister, Treena, and her husband, Julian, are thinking about adoption."
ROYALLY WRAPPED FOR CHRISTMAS,--,Fewer than 50 Ratings,--,ROYALLY WRAPPED FOR CHRISTMAS,"Holiday, Drama",English,T.W. Peacock,,,,,,1h 30m,,"Lindsay, the NY director of an international charity organization, is called to the Kingdom of Veronia by the royal family to interview for the job of overseeing the whole operation. During the interview process, she finds true love with the prince."
TIME FOR THEM TO COME HOME FOR CHRISTMAS,--,Fewer than 50 Ratings,--,TIME FOR THEM TO COME HOME FOR CHRISTMAS,"Holiday, Romance, Comedy",English,Peter Benson,Charles Cooper,Marcy Holland,,,,1h 24m,,A woman with amnesia catches a ride with her handsome nurse to investigate the only clue to her identity: a newspaper clipping for a Christmas festival with a cryptic invitation.
CHRISTMAS AT CASTLE HART,--,Fewer than 50 Ratings,--,CHRISTMAS AT CASTLE HART,"Holiday, Romance, Comedy",English,Stefan Scaini,Borga Dorter,"Rick German, Paul Campbell",,,,1h 24m,,"Brooke Bennett goes to Ireland during Christmastime to search for her Irish roots. Mistaken for an elite event planner, she's soon hired to host an epic Christmas party at a nobleman's castle."
MAKING SPIRITS BRIGHT,--,0 Ratings,--,MAKING SPIRITS BRIGHT,"Holiday, Romance",English,David Bercovici-Artieda,Shel Piercy,"Pierluigi Cothran, Tom McCurrie, Stephanie Sourapas",,,,1h 24m,,A man and a woman from rival families try to mend their respective fathers' decades-old feud. They soon find romance along the way as they compete in a holiday decorating contest.
SAMP,--,0 Ratings,--,SAMP,"Crime, Drama",Italian,"Flavia Mastrella, Antonio Rezza","Flavia Mastrella, Antonio Rezza",Flavia Mastrella,,,,1h 18m,,A hit man is tasked by a powerful crime boss to kill ordinary citizens to suppress tradition and human feelings.
MY FIONA,100%,Fewer than 50 Ratings,--,MY FIONA,"Drama, Lgbtq+",English,Kelly Walker,"Tina Carbone, Matt Minshall, Kate Sloate",Kelly Walker,"Nov 12, 2021  Limited","Nov 12, 2021",,1h 28m,Freestyle Digital Media,"Following the suicide of her best friend, Jane finds purpose in helping her friend's wife with their child. In doing so, she becomes inadvertently drawn into an intimate relationship bound by grief that's potentially catastrophic to the healing for all those involved."
CLOVER,--,Fewer than 50 Ratings,--,CLOVER,Drama,English,Jud Taylor,,,,"Feb 22, 2011",,1h 36m,,"Sara Kate (Elizabeth McGovern) marries Gaten Hill (Ernie Hudson), a single parent whose family disapproves of his marrying a white woman. On their honeymoon, Hill dies in a car accident, leaving Kate in charge of his daughter, Clover (Zelda Harris). The young girl distrusts Kate, as does her Aunt Everleen (Loretta Devine). The family offers to raise Clover, but Kate refuses. As the new family struggles to learn how to get along, Hill's spirit returns to guide Kate and Clover."
12 THESES,--,0 Ratings,--,12 THESES,Mystery & Thriller,English,Stefan Asang,,Stefan Asang,,,,1h 43m,,"After a magazine scoop in Switzerland on the 12 Theses, everyone associated with it dies. As a series of mysterious and deadly events unfold, Capt. Martin Jakobi and theology student Claire have to find out why and who."
THE FUTURE,54%,"2,500+ Ratings",72%,THE FUTURE,Drama,English,Miranda July,"Gina Kwon, Roman Paul, Gerhard Meixner",Miranda July,"Jul 29, 2011  Limited","Nov 29, 2011",$568.4K,1h 31m,Roadside Attractions,"In Los Angeles, longtime lovers (Hamish Linklater, Miranda July) make radical changes in their lives after deciding to adopt a sickly stray cat."
A PERFECT DAY,--,Fewer than 50 Ratings,--,A PERFECT DAY,Drama,Arabic,"Joana Hadjithomas, Khalil Joreige","Joana Hadjithomas, Khalil Joreige, Thanassis Karathanos, Edouard Mauriat, Georges Schoucair","Joana Hadjithomas, Khalil Joreige",,"Nov 25, 2008",,1h 28m,,"Malek, a young man with a sleeping disorder, becomes obsessed with thoughts of his ex-girlfriend."
AMRUTH APARTMENTS,--,0 Ratings,--,AMRUTH APARTMENTS,Drama,Kannada,Gururaj Kulkarni,,,,,,2h 13m,,A divorcing couple must get their priorities sorted when they end up badly entangled in a murder investigation.
CHECKPOINT,--,0 Ratings,--,CHECKPOINT,Drama,English,Parviz Sayyad,Parviz Sayyad,Parviz Sayyad,,,,1h 31m,,Authorities detain a busload of college students at the U.S.-Canadian border because eight Iranian students are aboard.
JAYANTI,--,0 Ratings,--,JAYANTI,Drama,Marathi,Shailesh Baliram Narwade,,Shailesh Baliram Narwade,,,,2h 24m,,A young ne'er-do-well becomes entangled in a murder investigation.
MEGABOA,--,Fewer than 50 Ratings,--,MEGABOA,Action,English,Mario N. Bonassin,David Michael Latt,Alex Heerman,,,,1h 20m,,"On a trip to Colombia, a group of college students encounter a sixty-foot boa constrictor, hungry for blood."
GOVINDA GOVINDA,--,0 Ratings,--,GOVINDA GOVINDA,Comedy,Kannada,Thilak,Shailendra Babu,Dev Rangabhumi,,,,2h 19m,,Three college slackers fake a friend's kidnapping to help her escape her strict father.The plan works until she meets a stranger-than-fiction reality.
DEMON IN THE WHITE HOUSE,--,0 Ratings,--,DEMON IN THE WHITE HOUSE,"Documentary, Mystery & Thriller",English,Brook Linder,Divi Crockett,,,"Nov 26, 2021",,1h 25m,,"The world's most haunted house is at 1600 Pennsylvania Avenue, where two grieving first ladies may have unwittingly invited evil into their temporary home. This spirit could still be tormenting America's presidents, their families and their advisors."
V/H/S,41%,"10,000+ Ratings",56%,V/H/S,"Horror, Mystery & Thriller",English,"David Bruckner, Glenn McQuaid, Joe Swanberg, Ti West, Adam Wingard","Gary Binkow, Roxanne Benjamin, Brad Miska","Simon Barrett, David Bruckner, Tyler Gillett, Justin Martinez, Glenn McQuaid, Nicholas Tecosky, Ti West, Matt Bettinelli-Olpin, Chad Villella","Oct 5, 2012  Limited","Dec 4, 2012",$65.1K,1h 55m,Magnet Releasing,"Hired to steal a rare VHS tape from a remote house, a ragtag band of crooks finds a dead body, old TVs and a lot of cryptic footage."
ANGELS IN AMERICA,--,Fewer than 50 Ratings,--,ANGELS IN AMERICA,Drama,English,Mike Nichols,,Tony Kushner,,"Jan 8, 2008",,5h 51m,,"Based on Tony Kushner's lauded play, this sweeping production, which mixes real-life and fictional characters, is set against the backdrop of the 1980s AIDS epidemic. While conservative attorney and closeted homosexual Roy Cohn (Al Pacino) slowly dies of AIDS, he is tormented by the ghost of Ethel Rosenberg (Meryl Streep), whom he helped convict of being a Russian spy. Meanwhile, Cohn's employee Joe Pitt (Patrick Wilson), a closeted, married gay attorney, also struggles with his sexuality."
ENTROPIC,--,0 Ratings,--,ENTROPIC,Drama,English,"Jon Dewar, Robert W. Gray","Jon Dewar, Matt Rogers, Robert W. Gray",Robert W. Gray,,,,1h 26m,,"When a shy man's unbearably beautiful friend contacts him with a monstrous proposal, he agrees to help him find freedom from the burden of those who desire and objectify him."
STONES,--,0 Ratings,--,STONES,Drama,Hebrew,Raphaël Nadjari,,Raphaël Nadjari,,,,1h 50m,,Michale's life is shattered when her lover dies.
PLAYING WITH BEETHOVEN,--,0 Ratings,--,PLAYING WITH BEETHOVEN,"Drama, Music",English,Jenn Page,"Justin L. Anderson, Chris Edgar, Corinne Jayaweera, Jenn Page, Brandon Poller, David Schatanoff Jr., Ben Solenberger, Chris Yanke","Catherine Shefski, Jenn Page",,"Nov 26, 2021",,1h 20m,,"Dedicated classical piano student Josh, who rarely leaves the practice room, falls under the spell of free-spirited beauty, Charlotte. On the day before a life-changing competition, Josh goes against his better judgement and the wishes of his stern teacher Victor Zabov, joining Charlotte for a night of music and adventure. Along the way, he meets Charlotte's sister Bryn, who is suspicious of Charlotte's motives."
ORCHIDS: MY INTERSEX ADVENTURE,83%,Fewer than 50 Ratings,--,ORCHIDS: MY INTERSEX ADVENTURE,Documentary,English,Phoebe Hart,Phoebe Hart,,,,,56m,,"On a journey of self-discovery, documentarian Phoebe Hart reveals that she has a hidden intersex condition."
THE CANDIDATE,--,Fewer than 50 Ratings,--,THE CANDIDATE,"Comedy, Mystery & Thriller",Slovak,Jonás Karásek,"Peter Balko, Michal Havran, Maros Hecko",,,"May 22, 2017",,1h 46m,,"Two snoops are hired to dig up dirt on Adam Lambert (Marek Majeský), a candidate for president of Slovakia."
5 MORE SLEEPS 'TIL CHRISTMAS,--,Fewer than 50 Ratings,--,5 MORE SLEEPS 'TIL CHRISTMAS,"Animation, Comedy",English,Borja Pena,,,,"Nov 26, 2021",,30m,,"A boy who excitedly plans elaborate activities with his mom and dog for the five days leading up to Christmas, must learn to share the joy when another kid and her father unexpectedly join the family for the holidays."
SKYLAB,--,0 Ratings,--,SKYLAB,Comedy,English,Mark Landsman,,Mark Landsman,,,,13m,,"In the summer of 1979, 12-year-old Benjamin Handle is convinced a 90-ton chunk of space trash is heading straight for his house."
HENRY,--,Fewer than 50 Ratings,--,HENRY,Drama,Unknown language,Yan England,,Yan England,,"Apr 5, 2016",,21m,,A concert pianist's life is thrown into turmoil as he searches for his wife.
TROLLS: HOLIDAY IN HARMONY,64%,Fewer than 50 Ratings,--,TROLLS: HOLIDAY IN HARMONY,"Animation, Kids & Family, Musical",English,"Sean Charmatz, Tim Heitz",,"Sean Charmatz, Tim Heitz",,"Nov 30, 2021",,30m,,"Queen Poppy plans the first annual Trolls Kingdom Secret Holiday Gift Swap, but things take an unexpected turn when she and Branch draw each other's name; Tiny Diamond comes down with a bad case of writers' block."
VIDEO VISIT,--,0 Ratings,--,VIDEO VISIT,Documentary,English,Malika Zouhali-Worrall,,,,,,23m,,Two mothers and their respective sons visit the Brooklyn Public Library to chat with incarcerated loved ones via a free video call.
"MY HUSBAND, MY LOVER",--,0 Ratings,--,"MY HUSBAND, MY LOVER",Drama,Tagalog,Mac Alejandre,"Vincent Del Rosario III, Veronique Del Rosario-Corpus",Ricardo Lee,,,,1h 49m,,Alice and Noel's marriage ends when Alice's affair with Dennis surfaces once she tells both men about her pregnancy.
AVALON,73%,"5,000+ Ratings",80%,AVALON,Sci-Fi,Polish,Mamoru Oshii,Atsushi Kubo,Kazunori Ito,,"Dec 16, 2003",,1h 46m,,In the future a female warrior (Małgorzata Foremniak) enters a virtual-reality game where there is only one way to win.
MARY,--,0 Ratings,--,MARY,Drama,English,Zach Turner,Zach Turner,Caleb Turner,,,,24m,,"Divorced and alone, Craig meets Mary, the woman of his dreams, and has to figure out if he is dreaming or not."
ONE NIGHT STAND,--,Fewer than 50 Ratings,--,ONE NIGHT STAND,"Comedy, Drama",English,John Duigan,,,,,,1h 34m,,Two Australian teenagers and a pair of male companions spend a nervous night following the outbreak of nuclear war.
A WISEGUY CHRISTMAS,--,0 Ratings,--,A WISEGUY CHRISTMAS,Comedy,English,Gregory Hatanaka,"Giorgio Bellossi, Nicole D'Angelo, Chris Spinelli, Benny Tjandra",Nino Cimino,,,,,,"After being put in the witness protection program and being relocated to Los Angeles, former New York mob boss Tony Pantera must rediscover the true meaning of Christmas while trying to stay alive."
ANGEL FALLS CHRISTMAS,0%,Fewer than 50 Ratings,--,ANGEL FALLS CHRISTMAS,"Holiday, Romance",English,Jerry Ciccoritti,,"John-Eliot Jordan, Carlie Mantilla",,"Nov 26, 2021",,2h 0m,,A devoted doctor with little time for the Christmas spirit is in desperate need of an intervention from the unlikeliest of places.
